Date,Open,High,Low,Close,Adj Close,Volume
3/13/14,76.777145,77.094284,75.594284,75.807144,67.034889,64435700
3/14/14,75.541428,75.841431,74.714287,74.955711,66.281975,59299800
3/17/14,75.385712,75.709999,75.121429,75.248573,66.540955,49886200
3/18/14,75.128571,75.995712,75.028572,75.914284,67.129631,52411800
3/19/14,76.03714,76.605713,75.571426,75.894287,67.111969,56189000
3/20/14,75.69857,76.095711,75.335716,75.528572,66.788559,52099600
3/21/14,75.989998,76.25,75.190002,76.124283,67.315308,93511600
3/24/14,76.917145,77.214287,76.437141,77.027145,68.113724,88925200
3/25/14,77.35714,77.964287,77.084282,77.855713,68.846397,70573300
3/26/14,78.074287,78.428574,76.980003,77.111427,68.188232,74942000
3/27/14,77.145714,77.35714,76.445717,76.779999,67.895157,55507900
3/28/14,76.902855,76.991432,76.321426,76.694283,67.819397,50141000
3/31/14,77.03286,77.258568,76.561432,76.677139,67.804207,42167300
4/1/14,76.822861,77.410004,76.681427,77.378571,68.424469,50190000
4/2/14,77.482857,77.639999,77.18,77.507141,68.53817,45105200
4/3/14,77.341431,77.5,76.805717,76.970001,68.063202,40586000
4/4/14,77.115715,77.14286,75.797142,75.974289,67.182701,68812800
4/7/14,75.431427,75.842857,74.555717,74.781425,66.127869,72462600
4/8/14,75.027145,75.160004,74.099998,74.777145,66.124092,60972100
4/9/14,74.662857,75.784286,74.574287,75.760002,66.993195,51542400
4/10/14,75.811432,76.034286,74.738571,74.78286,66.12915,59913000
4/11/14,74.14286,74.690002,73.877144,74.230003,65.640236,67929400
4/14/14,74.557144,74.594284,73.887146,74.525711,65.901756,51418500
4/15/14,74.324287,74.519997,73.047142,73.994286,65.431808,66622500
4/16/14,74.007141,74.441429,73.44857,74.144287,65.564453,53691400
4/17/14,74.285713,75.394287,74.171425,74.991432,66.313568,71083600
4/21/14,75.048569,76.019997,74.851425,75.881432,67.100571,45637200
4/22/14,75.472855,75.975716,75.214287,75.957146,67.167534,50640800
4/23/14,75.580002,75.875717,74.921425,74.964287,66.289574,98735000
4/24/14,81.172859,81.428574,80.104286,81.110001,71.724113,189977900
4/25/14,80.647141,81.71286,80.565712,81.705711,72.250885,97568800
4/28/14,81.828575,85.10714,81.792854,84.870003,75.049004,167371400
4/29/14,84.82,85.139999,84.215714,84.618568,74.826683,84344400
4/30/14,84.662857,85.632858,84.257141,84.298569,74.543709,114160200
5/1/14,84.571426,84.971428,83.765717,84.497147,74.719299,61012000
5/2/14,84.620003,84.885712,84.244286,84.654289,74.858269,47878600
5/5/14,84.305717,85.85714,84.285713,85.851425,75.916885,71766800
5/6/14,85.971428,86.344284,84.915718,84.915718,75.089447,93641100
5/7/14,85.035713,85.327141,83.961426,84.618568,74.826683,70716100
5/8/14,84.035713,84.915718,83.771431,83.998573,77.283211,57574300
5/9/14,83.505714,83.75,82.904289,83.648575,76.961197,72899400
5/12/14,83.927139,84.808571,83.914284,84.690002,77.91938,53302200
5/13/14,84.571426,84.934288,84.385712,84.822861,78.041618,39934300
5/14/14,84.632858,85.342857,84.534286,84.83857,78.056053,41601000
5/15/14,84.957146,85.228569,84.005714,84.117142,77.392319,57711500
5/16/14,84.089996,85.361427,83.628571,85.358574,78.534492,69064100
5/19/14,85.407143,86.761429,85.332855,86.370003,79.465065,79438800
5/20/14,86.358574,86.628571,85.818573,86.387146,79.480827,58709000
5/21/14,86.261429,86.671425,86.008568,86.615715,79.691139,49214900
5/22/14,86.657143,87.121429,86.300003,86.752853,79.817314,50190000
5/23/14,86.75,87.818573,86.638573,87.732857,80.718971,58052400
5/27/14,87.982857,89.408569,87.947144,89.375717,82.230476,87216500
5/28/14,89.431427,89.975716,89.111427,89.144287,82.01757,78870400
5/29/14,89.692856,90.98143,89.681427,90.76857,83.511993,94118500
5/30/14,91.139999,92.024284,89.842857,90.428574,83.199173,141005200
6/2/14,90.565712,90.690002,88.928574,89.807144,82.627434,92337700
6/3/14,89.779999,91.248573,89.75,91.077141,83.795898,73177300
6/4/14,91.062859,92.555717,90.872856,92.117142,84.752747,83870500
6/5/14,92.314285,92.767143,91.80143,92.478569,85.085281,75951400
6/6/14,92.842857,93.03714,92.067146,92.224289,84.851349,87484600
6/9/14,92.699997,93.879997,91.75,93.699997,86.209076,75415000
6/10/14,94.730003,95.050003,93.57,94.25,86.715096,62777000
6/11/14,94.129997,94.760002,93.470001,93.860001,86.356293,45681000
6/12/14,94.040001,94.120003,91.900002,92.290001,84.911781,54749000
6/13/14,92.199997,92.440002,90.879997,91.279999,83.982529,54525000
6/16/14,91.510002,92.75,91.449997,92.199997,84.828972,35561000
6/17/14,92.309998,92.699997,91.800003,92.080002,84.718567,29726000
6/18/14,92.269997,92.290001,91.349998,92.18,84.8106,33514000
6/19/14,92.290001,92.300003,91.339996,91.860001,84.516167,35528000
6/20/14,91.849998,92.550003,90.900002,90.910004,83.642128,100898000
