Date,Close/Last,RSI
3/13/19,181.71,74.731083
3/12/19,180.91,73.429715
3/11/19,178.9,69.9276
3/8/19,172.91,53.483245
3/7/19,172.5,51.861661
3/6/19,174.52,61.343913
3/5/19,175.53,66.843592
3/4/19,175.85,68.597245
3/1/19,174.97,66.416607
2/28/19,173.15,61.431428
2/27/19,174.87,70.308355
2/26/19,174.33,69.044438
2/25/19,174.23,68.823249
2/22/19,172.97,66.074297
2/21/19,171.06,61.43521
2/20/19,172.03,65.530936
2/19/19,170.93,63.014359
2/15/19,170.42,61.852187
2/14/19,170.8,63.183553
2/13/19,170.18,61.981888
2/12/19,170.89,64.139514
2/11/19,169.43,61.670147
2/8/19,170.41,64.346929
2/7/19,170.94,65.735704
2/6/19,174.24,74.779883
2/5/19,174.18,74.722975
2/4/19,171.25,71.940257
2/1/19,166.52,66.597607
1/31/19,166.44,66.500516
1/30/19,165.25,65.144139
1/29/19,154.68,48.462654
1/28/19,156.3,51.888033
1/25/19,157.76,55.043687
1/24/19,152.7,44.519079
1/23/19,153.92,46.901704
1/22/19,153.3,45.569325
1/18/19,156.82,52.271318
1/17/19,155.86,50.483803
1/16/19,154.94,48.83094
1/15/19,153.07,45.503139
1/14/19,150,39.709698
1/11/19,152.29,42.76151
1/10/19,153.8,44.804995
1/9/19,153.31,44.023756
1/8/19,150.75,40.032727
1/7/19,147.93,35.47147
1/4/19,148.26,35.757921
1/3/19,142.19,25.844296
1/2/19,157.92,40.376114
12/31/18,157.74,40.028831
12/28/18,156.23,37.27026
12/27/18,156.15,37.132372
12/26/18,157.17,38.093212
12/24/18,146.83,18.961565
12/21/18,150.73,21.183883
12/20/18,156.83,25.36941
12/19/18,160.89,28.775056
12/18/18,166.07,34.018984
12/17/18,163.94,29.247251
12/14/18,165.48,30.691558
12/13/18,170.95,36.444907
12/12/18,169.1,32.599036
12/11/18,168.63,31.653386
12/10/18,169.6,32.500357
12/7/18,168.49,30.587513
12/6/18,174.72,35.697552
12/4/18,176.69,37.479497
12/3/18,184.82,46.010012
11/30/18,178.58,35.937937
11/29/18,179.55,36.901043
11/28/18,180.94,38.222098
11/27/18,174.24,26.863678
11/26/18,174.62,27.118183
11/23/18,172.29,23.09763
11/21/18,176.78,25.5413
11/20/18,176.98,25.65009
11/19/18,185.86,30.911362
11/16/18,193.53,36.775197
11/15/18,191.41,33.643876
11/14/18,186.8,26.521806
11/13/18,192.23,29.926894
11/12/18,194.17,31.215561
11/9/18,204.47,39.302337
11/8/18,208.49,43.236838
11/7/18,209.95,44.699497
11/6/18,203.77,36.51832
11/5/18,201.59,33.389808
11/2/18,207.48,37.935935
11/1/18,222.22,54.714499
10/31/18,218.86,50.195333
10/30/18,213.3,41.50125
10/29/18,212.24,39.694988
10/26/18,216.3,44.423318
10/25/18,219.8,48.946893
10/24/18,215.09,41.764787
10/23/18,222.73,52.559023
10/22/18,220.65,49.351572
10/19/18,219.31,47.285128
10/18/18,216.02,42.061681
10/17/18,221.19,48.916877
10/16/18,222.15,50.286522
10/15/18,217.36,43.136833
10/12/18,222.11,49.489006
10/11/18,214.45,35.75927
10/10/18,216.36,38.082253
10/9/18,226.87,56.144787
10/8/18,223.77,49.827622
10/5/18,224.29,50.935275
10/4/18,227.99,59.389737
10/3/18,232.07,71.102298
10/2/18,229.28,67.110335
10/1/18,227.26,63.856933
9/28/18,225.74,61.261845
9/27/18,224.95,59.915586
9/26/18,220.42,51.15524
9/25/18,222.19,55.413996
9/24/18,220.79,52.605197
9/21/18,217.66,45.725365
9/20/18,220.03,50.745189
9/19/18,218.37,47.083108
9/18/18,218.24,46.804347
9/17/18,217.88,46.096635
9/14/18,223.84,57.493494
9/13/18,226.41,63.595486
9/12/18,221.07,54.580996
9/11/18,223.85,61.744588
9/10/18,218.33,50.02265
9/7/18,221.3,58.738018
9/6/18,223.1,64.906303
9/5/18,226.87,80.925555
9/4/18,228.36,88.713689
8/31/18,227.63,88.213527
8/30/18,225.03,86.261997
8/29/18,222.98,84.432969
8/28/18,219.7,80.740634
8/27/18,217.94,78.249184
8/24/18,216.16,75.346206
8/23/18,215.49,74.178743
8/22/18,215.05,73.435235
8/21/18,215.04,73.41958
8/20/18,215.46,75.09237
8/17/18,217.58,83.762115
8/16/18,213.32,79.476936
8/15/18,210.24,75.222044
8/14/18,209.75,74.464013
8/13/18,208.87,73.135618
8/10/18,207.53,71.073389
8/9/18,208.88,76.390436
8/8/18,207.25,74.301278
8/7/18,207.11,74.124284
